facility,location,cases,deaths,address,lon,lat
West Hartford Health and Rehabilitation Center,"West Hartford, Conn.",98,23,"West Hartford Health and Rehabilitation Center, West Hartford, Conn.",-72.7420151,41.7620842
CareOne at Evesham nursing home,"Marlton, N.J.",94,23,"CareOne at Evesham nursing home, Marlton, N.J.",-74.9218324,39.8912248
Ridgewood Genesis Bedford,"Bedford, N.H.",87,23,"Ridgewood Genesis Bedford, Bedford, N.H.",-71.51320079999999,42.9463291
Medilodge of Kalamazoo nursing home,"Kalamazoo, Mich.",85,23,"Medilodge of Kalamazoo nursing home, Kalamazoo, Mich.",-85.5872286,42.2917069
The Quadrangle retirement community,"Haverford, Pa.",73,23,"The Quadrangle retirement community, Haverford, Pa.",-75.3208107,40.0022406
Willowbrooke Court Spring House,"Lower Gwyne, Pa.",72,23,"Willowbrooke Court Spring House, Lower Gwyne, Pa.",-75.2362381,40.1793752
Cassena Care nursing home,"Stamford, Conn.",72,23,"Cassena Care nursing home, Stamford, Conn.",-73.5387341,41.0534302
Hamden Rehabilitation and Health Care Center,"Hamden, Conn.",68,23,"Hamden Rehabilitation and Health Care Center, Hamden, Conn.",-72.9026064,41.3838782
The Chelsea at Forsgate assisted living,"Monroe, N.J.",64,23,"The Chelsea at Forsgate assisted living, Monroe, N.J.",-74.43304739999999,40.336419
Grandview Rehabilitation and Healthcare Center,"New Britain, Conn.",62,23,"Grandview Rehabilitation and Healthcare Center, New Britain, Conn.",-72.7795419,41.6612104
Western Rehabilitation Care Center,"Danbury, Conn.",56,23,"Western Rehabilitation Care Center, Danbury, Conn.",-73.4540111,41.394817
PruittHealth Palmyra nursing home,"Albany, Ga.",167,22,"PruittHealth Palmyra nursing home, Albany, Ga.",-84.15574099999999,31.5785074
Turlock Nursing and Rehabilitation Center,"Turlock, Calif.",164,22,"Turlock Nursing and Rehabilitation Center, Turlock, Calif.",-120.8459786,37.4945743
FutureCare Cherrywood skilled nursing,"Reisterstown, Md.",147,22,"FutureCare Cherrywood skilled nursing, Reisterstown, Md.",-76.82942129999999,39.4695489
St. Francis Center for Rehabilitation & Healthcare,"Darby, Pa.",136,22,"St. Francis Center for Rehabilitation & Healthcare, Darby, Pa.",-75.2590721,39.9184461
Premier Cadbury at Cherry Hill retirement community,"Cherry Hill, N.J.",135,22,"Premier Cadbury at Cherry Hill retirement community, Cherry Hill, N.J.",-75.0246312,39.926813
Riviera Healthcare Center,"Los Angeles, Calif.",133,22,"Riviera Healthcare Center, Los Angeles, Calif.",-118.2436849,34.0522342
Autumn Lake Healthcare at Cherry Lane nursing home,"Laurel, Md.",130,22,"Autumn Lake Healthcare at Cherry Lane nursing home, Laurel, Md.",-76.8483061,39.0992752
Leisure Chateau Care and Rehabilitation Center,"Lakewood, N.J.",129,22,"Leisure Chateau Care and Rehabilitation Center, Lakewood, N.J.",-74.2097014,40.08212899999999
Cedar Mountain Post Acute Care Facility,"Yucaipa, Calif.",125,22,"Cedar Mountain Post Acute Care Facility, Yucaipa, Calif.",-117.0430865,34.033625
Community Convalescent Center,"Plant City, Fla.",117,22,"Community Convalescent Center, Plant City, Fla.",-82.1128641,28.0186323
Sea Cliff Healthcare Center,"Huntington Beach, Calif.",113,22,"Sea Cliff Healthcare Center, Huntington Beach, Calif.",-117.9988026,33.6594835
Complete Care at Bey Lea rehabilitation facility,"Toms River, N.J.",108,22,"Complete Care at Bey Lea rehabilitation facility, Toms River, N.J.",-74.1979458,39.9537358
Centennial Healthcare Center nursing home,"Greeley, Colo.",107,22,"Centennial Healthcare Center nursing home, Greeley, Colo.",-104.7091322,40.4233142
Madison Center nursing home,"Matawan, N.J.",107,22,"Madison Center nursing home, Matawan, N.J.",-74.2295891,40.41482999999999
Oak Brook Care,"Oak Brook, Ill.",103,22,"Oak Brook Care, Oak Brook, Ill.",-87.95355339999999,41.8397865
Gulf Shore Care Center nursing home,"Pinellas Park, Fla.",103,22,"Gulf Shore Care Center nursing home, Pinellas Park, Fla.",-82.6995443,27.8428025
Clark Nursing and Rehabilitation Center,"Clark, N.J.",98,22,"Clark Nursing and Rehabilitation Center, Clark, N.J.",-74.3127631,40.6278031
Eben Ezer Lutheran Care Center nursing home,"Brush, Colo.",98,22,"Eben Ezer Lutheran Care Center nursing home, Brush, Colo.",-103.6238367,40.2588686
Edwardsville Care Center,"Edwardsville, Ill.",97,22,"Edwardsville Care Center, Edwardsville, Ill.",-89.95315699999999,38.8114364
Waterview Center nursing home,"Cedar Grove, N.J.",97,22,"Waterview Center nursing home, Cedar Grove, N.J.",-74.2290319,40.8517876
Preferred Care at Mercer skilled nursing facility,"Ewing, N.J.",96,22,"Preferred Care at Mercer skilled nursing facility, Ewing, N.J.",-74.79091249999999,40.2599864
Alaris Health at Riverton nursing home,"Rahway, N.J.",95,22,"Alaris Health at Riverton nursing home, Rahway, N.J.",-74.2776468,40.60815909999999
Landmark of Des Plaines nursing home,"Des Plaines, Ill.",95,22,"Landmark of Des Plaines nursing home, Des Plaines, Ill.",-87.88339909999999,42.0333623
Brookdale assisted living facility,"Paramus, N.J.",94,22,"Brookdale assisted living facility, Paramus, N.J.",-74.0754189,40.9445428
Valerie Manor nursing home,"Torrington, Conn.",93,22,"Valerie Manor nursing home, Torrington, Conn.",-73.1211715,41.8003049
Alameda Care Center nursing facility,"Burbank, Calif.",89,22,"Alameda Care Center nursing facility, Burbank, Calif.",-118.3089661,34.1808392
Patapsco Valley Center nursing home,"Randallstown, Md.",88,22,"Patapsco Valley Center nursing home, Randallstown, Md.",-76.79525249999999,39.3673278
Riverside Miller Rehabilitation,"Kankakee, Ill.",88,22,"Riverside Miller Rehabilitation, Kankakee, Ill.",-87.8611531,41.1200325
Springbrook Nursing and Rehabilitation Center,"Clayton, N.C.",86,22,"Springbrook Nursing and Rehabilitation Center, Clayton, N.C.",-78.4563914,35.650711
Lakeview Nursing and Rehabilitation,"Chicago, Ill.",84,22,"Lakeview Nursing and Rehabilitation, Chicago, Ill.",-87.6297982,41.8781136
CareOne nursing home,"Wayne , N.J.",83,22,"CareOne nursing home, Wayne , N.J.",-74.2765441,40.92537249999999
Arnold Walter Nursing and Rehabilitation Center,"Hazlet, N.J.",81,22,"Arnold Walter Nursing and Rehabilitation Center, Hazlet, N.J.",-74.16509909999999,40.4289526
Monrovia Gardens Healthcare Center,"Los Angeles, Calif.",81,22,"Monrovia Gardens Healthcare Center, Los Angeles, Calif.",-118.2436849,34.0522342
Linwood Nursing and Rehabilitation Center,"Scranton, Pa.",73,22,"Linwood Nursing and Rehabilitation Center, Scranton, Pa.",-75.66241219999999,41.408969
Holly Manor Center nursing home,"Mendham, N.J.",72,22,"Holly Manor Center nursing home, Mendham, N.J.",-74.57656860000002,40.7870633
Touchpoints nursing home,"Bloomfield, Conn.",71,22,"Touchpoints nursing home, Bloomfield, Conn.",-72.73009449999999,41.826488
Bel Tooren Villa Convalescent Hospital,"Bellflower, Calif.",235,21,"Bel Tooren Villa Convalescent Hospital, Bellflower, Calif.",-118.1170117,33.8816818
ManorCare Health Services nursing home,"Easton, Pa.",162,21,"ManorCare Health Services nursing home, Easton, Pa.",-75.2207323,40.688432
Emerson Health and Rehabilitation Center,"Emerson, N.J.",158,21,"Emerson Health and Rehabilitation Center, Emerson, N.J.",-74.0262505,40.976209
Hebrew Home of Greater Washington,"Rockville, Md.",154,21,"Hebrew Home of Greater Washington, Rockville, Md.",-77.1527578,39.0839973
Oaks - Scenic View Skilled Nursing,"Baldwin, Ga.",148,21,"Oaks - Scenic View Skilled Nursing, Baldwin, Ga.",-83.5373946,34.4917665
Hillcrest Center skilled nursing facility,"Wyncote, Pa.",144,21,"Hillcrest Center skilled nursing facility, Wyncote, Pa.",-75.1487863,40.0945549
The Jewish Home Family nursing home,"Rockleigh , N.J.",142,21,"The Jewish Home Family nursing home, Rockleigh , N.J.",-73.930414,41.0003754
French Park Care Center nursing home,"Santa Ana, Calif.",140,21,"French Park Care Center nursing home, Santa Ana, Calif.",-117.867653,33.7454725
FutureCare Chesapeake rehabilitation facility,"Arnold, Md.",131,21,"FutureCare Chesapeake rehabilitation facility, Arnold, Md.",-76.50273949999999,39.0320554
AristaCare nursing home,"Whiting, N.J.",122,21,"AristaCare nursing home, Whiting, N.J.",-74.378734,39.9543627
Pleasant Valley Nursing Home,"Derry, N.H.",116,21,"Pleasant Valley Nursing Home, Derry, N.H.",-71.3273346,42.8806437
Wilson Health Care Center at Asbury Methodist Village,"Gaithersburg, Md.",113,21,"Wilson Health Care Center at Asbury Methodist Village, Gaithersburg, Md.",-77.2016062,39.1439689
NSpire Healthcare nursing home,"Lauderhill, Fla.",109,21,"NSpire Healthcare nursing home, Lauderhill, Fla.",-80.2133808,26.1403635
Astoria Place Living and Rehab Center,"Chicago, Ill.",105,21,"Astoria Place Living and Rehab Center, Chicago, Ill.",-87.6297982,41.8781136
St. Mary's Villa retirement community and skilled nursing,"Elmhurst Township, Pa.",104,21,"St. Mary's Villa retirement community and skilled nursing, Elmhurst Township, Pa.",-75.5451379,41.3746119
Alden Estates rehabilitation center,"Naperville, Ill.",103,21,"Alden Estates rehabilitation center, Naperville, Ill.",-88.1535352,41.7508391
Windsor Park Manor retirement community,"Carol Stream, Ill.",100,21,"Windsor Park Manor retirement community, Carol Stream, Ill.",-88.13479269999999,41.91252859999999
West Valley Post Acute nursing home,"West Hills, Calif.",98,21,"West Valley Post Acute nursing home, West Hills, Calif.",-118.6439809,34.1973122
Stoddard Baptist Global Care at Washington Center for Aging Services,"Washington , D.C.",93,21,"Stoddard Baptist Global Care at Washington Center for Aging Services, Washington , D.C.",-77.0368707,38.9071923
Fair Havens Senior Living,"Decatur, Ill.",93,21,"Fair Havens Senior Living, Decatur, Ill.",-88.9548001,39.8403147
Aperion Care Oak Lawn rehabilitation and care,"Oak Lawn, Ill.",91,21,"Aperion Care Oak Lawn rehabilitation and care, Oak Lawn, Ill.",-87.7479528,41.719978
Carbondale Nursing and Rehab Center,"Carbondale, Pa.",90,21,"Carbondale Nursing and Rehab Center, Carbondale, Pa.",-75.5018508,41.5736935
Pomeroy Living rehabilitation center,"Sterling Heights, Mich.",90,21,"Pomeroy Living rehabilitation center, Sterling Heights, Mich.",-83.0302033,42.5803122
Meridian Nursing and Rehabilitation,"Brick, N.J.",88,21,"Meridian Nursing and Rehabilitation, Brick, N.J.",-74.1371832,40.0578384
Brightmoor Nursing Center and Senior Living,"Griffin, Ga.",86,21,"Brightmoor Nursing Center and Senior Living, Griffin, Ga.",-84.2640904,33.2467807
Preferred Care at Wall nursing home,"Allenwood, N.J.",86,21,"Preferred Care at Wall nursing home, Allenwood, N.J.",-74.0998616,40.1415032
Wingate at Harwich nursing and rehab,"Harwich, Mass.",83,21,"Wingate at Harwich nursing and rehab, Harwich, Mass.",-70.0622231,41.6716498
Complete Care at Summit Ridge nursing home,"West Orange, N.J.",82,21,"Complete Care at Summit Ridge nursing home, West Orange, N.J.",-74.23908279999999,40.7985699
Kimberly Hall South nursing home,"Windsor, Conn.",81,21,"Kimberly Hall South nursing home, Windsor, Conn.",-72.64370219999999,41.8525984
Avantara Evergreen Park skilled nursing,"Evergreen Park, Ill.",79,21,"Avantara Evergreen Park skilled nursing, Evergreen Park, Ill.",-87.7017175,41.7205889
Clover Meadows Healthcare and Rehab Center,"Lawrenceville, N.J.",78,21,"Clover Meadows Healthcare and Rehab Center, Lawrenceville, N.J.",-74.7361013,40.3016375
Apple Rehab nursing home,"Rocky Hill, Conn.",75,21,"Apple Rehab nursing home, Rocky Hill, Conn.",-72.66557569999999,41.6572525
Braden River Rehabilitation Center,"Bradenton, Fla.",72,21,"Braden River Rehabilitation Center, Bradenton, Fla.",-82.5748194,27.4989278
Whitestone Care Center,"Stroudsburg, Pa.",71,21,"Whitestone Care Center, Stroudsburg, Pa.",-75.1946248,40.9867609
Stillwater Assisted Living & Skilled Nursing,"Greenville, R.I.",65,21,"Stillwater Assisted Living & Skilled Nursing, Greenville, R.I.",-71.5520069,41.8712103
North Dade Nursing and Rehabilitation Center,"North Miami, Fla.",65,21,"North Dade Nursing and Rehabilitation Center, North Miami, Fla.",-80.1867138,25.8900949
The Willows nursing home,"Woodbridge, Conn.",65,21,"The Willows nursing home, Woodbridge, Conn.",-73.0084385,41.352597
Prospect Park Health and Rehab,"Prospect Park, Pa.",62,21,"Prospect Park Health and Rehab, Prospect Park, Pa.",-75.3082426,39.8878904
The Lutheran Home at Topton nursing home,"Topton, Pa.",60,21,"The Lutheran Home at Topton nursing home, Topton, Pa.",-75.7013027,40.5034284
Mystic Healthcare rehabilitation facility,"Groton, Conn.",54,21,"Mystic Healthcare rehabilitation facility, Groton, Conn.",-72.0790717,41.3497456
Willowbrooke Court at Southampton Estates skilled nursing,"Southampton, Pa.",51,21,"Willowbrooke Court at Southampton Estates skilled nursing, Southampton, Pa.",-75.0435916,40.179209
St. Camillus Health Center nursing home,"Stamford, Conn.",51,21,"St. Camillus Health Center nursing home, Stamford, Conn.",-73.5387341,41.0534302
Sinai Post-Acute Nursing & Rehab Center,"Newark, N.J.",199,20,"Sinai Post-Acute Nursing & Rehab Center, Newark, N.J.",-74.1723667,40.735657
Four Seasons Healthcare and Wellness Center,"North Hollywood, Calif.",163,20,"Four Seasons Healthcare and Wellness Center, North Hollywood, Calif.",-118.3812562,34.187044
Westland Convalescent and Rehab Center,"Westland, Mich.",148,20,"Westland Convalescent and Rehab Center, Westland, Mich.",-83.400211,42.32420399999999
Aston Park Health Care nursing home,"Asheville, N.C.",135,20,"Aston Park Health Care nursing home, Asheville, N.C.",-82.5514869,35.5950581
Calvert Manor Health Care Center,"Rising Sun, Md.",130,20,"Calvert Manor Health Care Center, Rising Sun, Md.",-76.06272659999999,39.6978871
Chateau Terrebonne skilled nursing,"Houma, La.",129,20,"Chateau Terrebonne skilled nursing, Houma, La.",-90.71953479999999,29.5957696
Laurel Brook Rehabilitation and Healthcare Center,"Mount Laurel, N.J.",129,20,"Laurel Brook Rehabilitation and Healthcare Center, Mount Laurel, N.J.",-74.89099879999999,39.934002
Rivergate Health Care Center,"Riverview, Mich.",126,20,"Rivergate Health Care Center, Riverview, Mich.",-83.1793697,42.1742073
Villa Manor Care Center,"Lakewood, Colo.",124,20,"Villa Manor Care Center, Lakewood, Colo.",-105.0813734,39.7047095
Silver Springs Care Center nursing home,"Meriden, Conn.",120,20,"Silver Springs Care Center nursing home, Meriden, Conn.",-72.80704349999999,41.5381535
PruittHealth Carolina Point nursing home,"Durham, N.C.",114,20,"PruittHealth Carolina Point nursing home, Durham, N.C.",-78.898619,35.9940329
Inglemoor Rehabilitation & Care Center,"Livingston, N.J.",114,20,"Inglemoor Rehabilitation & Care Center, Livingston, N.J.",-74.3300842,40.7862871
Wynwood Rehabilitation and Healthcare Center,"Cinnaminson, N.J.",114,20,"Wynwood Rehabilitation and Healthcare Center, Cinnaminson, N.J.",-74.99276929999999,39.9969646
West Woods skilled nursing facility,"Niles, Mich.",113,20,"West Woods skilled nursing facility, Niles, Mich.",-86.2541768,41.829769400000004
Jefferson Healthcare Center,"Jefferson, La.",111,20,"Jefferson Healthcare Center, Jefferson, La.",-90.1531298,29.96603709999999
Signature HealthCARE nursing home,"Jacksonville, Fla.",110,20,"Signature HealthCARE nursing home, Jacksonville, Fla.",-81.65565099999999,30.3321838
View Park Convalescent Center,"Los Angeles, Calif.",107,20,"View Park Convalescent Center, Los Angeles, Calif.",-118.2436849,34.0522342
Hunterdon Care Center nursing home,"Flemington, N.J.",106,20,"Hunterdon Care Center nursing home, Flemington, N.J.",-74.85933179999999,40.5123258
Hopkins Manor nursing home,"North Providence, R.I.",105,20,"Hopkins Manor nursing home, North Providence, R.I.",-71.46766389999999,41.8535518
Briarleaf Nursing & Convalescent Center,"Doylestown, Pa.",104,20,"Briarleaf Nursing & Convalescent Center, Doylestown, Pa.",-75.1298939,40.3101063
Burbank Healthcare and Rehabilitation Center,"Burbank, Calif.",104,20,"Burbank Healthcare and Rehabilitation Center, Burbank, Calif.",-118.3089661,34.1808392
Brenham Nursing and Rehabilitation Center,"Brenham, Texas",103,20,"Brenham Nursing and Rehabilitation Center, Brenham, Texas",-96.39774419999999,30.1668828
Parkway Pavilion Health and Rehabilitation Center,"Enfield, Conn.",103,20,"Parkway Pavilion Health and Rehabilitation Center, Enfield, Conn.",-72.5441445,42.0027181
Highland Springs Care Center nursing home,"Beaumont, Calif.",101,20,"Highland Springs Care Center nursing home, Beaumont, Calif.",-116.977248,33.9294606
Brighton Gardens of Prairie Village assisted living facility,"Prairie Village, Kan.",97,20,"Brighton Gardens of Prairie Village assisted living facility, Prairie Village, Kan.",-94.6335684,38.9916726
Anchor Care and Rehabilitation Center,"Hazlet, N.J.",95,20,"Anchor Care and Rehabilitation Center, Hazlet, N.J.",-74.16509909999999,40.4289526
Birchwood Terrace Rehab and Healthcare,"Burlington, Vt.",93,20,"Birchwood Terrace Rehab and Healthcare, Burlington, Vt.",-73.21207199999999,44.4758825
ManorCare Health Services nursing home,"Potomac, Md.",93,20,"ManorCare Health Services nursing home, Potomac, Md.",-77.2085914,39.0181651
Hamilton Arms Center nursing home,"Lancaster, Pa.",91,20,"Hamilton Arms Center nursing home, Lancaster, Pa.",-76.3055144,40.0378755
The Peaks Care Center nursing home,"Longmont, Colo.",87,20,"The Peaks Care Center nursing home, Longmont, Colo.",-105.1019275,40.1672068
Holly Heights Care Center nursing home,"Denver, Colo.",87,20,"Holly Heights Care Center nursing home, Denver, Colo.",-104.990251,39.7392358
Woonsocket Health & Rehabilitation Centre,"Woonsocket, R.I.",85,20,"Woonsocket Health & Rehabilitation Centre, Woonsocket, R.I.",-71.51478390000001,42.00287609999999
Signature HealthCARE nursing home,"Chapel Hill, N.C.",84,20,"Signature HealthCARE nursing home, Chapel Hill, N.C.",-79.0558445,35.9131996
Touchpoints nursing home,"Farmington, Conn.",84,20,"Touchpoints nursing home, Farmington, Conn.",-72.79502699999999,41.7360305
Providence Nursing and Rehabilitation Center,"Trenton, N.J.",82,20,"Providence Nursing and Rehabilitation Center, Trenton, N.J.",-74.759717,40.2205824
Forest City Nursing and Rehabilitation Center,"Forest City, Pa.",81,20,"Forest City Nursing and Rehabilitation Center, Forest City, Pa.",-75.46657189999999,41.6514722
Rose Mountain Care Center nursing home,"New Brunswick, N.J.",80,20,"Rose Mountain Care Center nursing home, New Brunswick, N.J.",-74.4518188,40.4862157
Whitney Rehabilitation Care Center,"Hamden, Conn.",78,20,"Whitney Rehabilitation Care Center, Hamden, Conn.",-72.9026064,41.3838782
Mount St. Rita Health Centre nursing home,"Cumberland, R.I.",75,20,"Mount St. Rita Health Centre nursing home, Cumberland, R.I.",-71.4061876,41.9721816
Greenville Center skilled nursing and rehabilitation,"Greenville, R.I.",75,20,"Greenville Center skilled nursing and rehabilitation, Greenville, R.I.",-71.5520069,41.8712103
Cherry Hill Manor nursing and rehabilitation center,"Johnston, R.I.",75,20,"Cherry Hill Manor nursing and rehabilitation center, Johnston, R.I.",-71.51261699999999,41.8205199
Steere House Nursing and Rehabilitation Center,"Providence, R.I.",75,20,"Steere House Nursing and Rehabilitation Center, Providence, R.I.",-71.4128343,41.8239891
Jo Ellen Smith Living Center nursing home,"New Orleans, La.",74,20,"Jo Ellen Smith Living Center nursing home, New Orleans, La.",-90.0715323,29.95106579999999
Jewish Home of Eastern Pennsylvania nursing home,"Scranton, Pa.",74,20,"Jewish Home of Eastern Pennsylvania nursing home, Scranton, Pa.",-75.66241219999999,41.408969
Plaza Healthcare and Rehabilitation Center,"Elizabeth, N.J.",73,20,"Plaza Healthcare and Rehabilitation Center, Elizabeth, N.J.",-74.2107006,40.6639916
Providence Rehabilitation & Healthcare Center at Mercy Fitzgerald,"Yeadon, Pa.",71,20,"Providence Rehabilitation & Healthcare Center at Mercy Fitzgerald, Yeadon, Pa.",-75.2554605,39.9390017
Julia Temple Healthcare Center,"Englewood, Colo.",71,20,"Julia Temple Healthcare Center, Englewood, Colo.",-104.9877597,39.6477653
Elizabeth Nursing and Rehabilitation Center,"Elizabeth, N.J.",71,20,"Elizabeth Nursing and Rehabilitation Center, Elizabeth, N.J.",-74.2107006,40.6639916
Oakland Grove Health Care Center,"Woonsocket, R.I.",70,20,"Oakland Grove Health Care Center, Woonsocket, R.I.",-71.51478390000001,42.00287609999999
Scalabrini Villa Skilled Nursing and Rehabilitation Center,"North Kingstown, R.I.",70,20,"Scalabrini Villa Skilled Nursing and Rehabilitation Center, North Kingstown, R.I.",-71.4536835,41.5568315
El Rancho Vista Healthcare,"Pico Rivera, Calif.",70,20,"El Rancho Vista Healthcare, Pico Rivera, Calif.",-118.096735,33.9830688
Eden Village Care Center,"Glen Carbon, Ill.",69,20,"Eden Village Care Center, Glen Carbon, Ill.",-89.98315799999999,38.7483814
Touchpoints at Manchester skilled nursing facility,"Manchester, Conn.",69,20,"Touchpoints at Manchester skilled nursing facility, Manchester, Conn.",-72.52150089999999,41.7759301
Evergreen Health Care Center,"Stafford Springs, Conn.",68,20,"Evergreen Health Care Center, Stafford Springs, Conn.",-72.3162523,41.984407
Early Memorial Nursing Facility,"Blakely, Ga.",68,20,"Early Memorial Nursing Facility, Blakely, Ga.",-84.93409199999999,31.3776754
Autumn Care nursing home,"Cornelius, N.C.",67,20,"Autumn Care nursing home, Cornelius, N.C.",-80.86007359999999,35.4868032
Briarcliffe Manor,"Johnston, R.I.",65,20,"Briarcliffe Manor, Johnston, R.I.",-71.51261699999999,41.8205199
AristaCare at Norwood Terrace rehabilitation facility,"Plainfield, N.J.",65,20,"AristaCare at Norwood Terrace rehabilitation facility, Plainfield, N.J.",-74.4073736,40.6337136
Saint Antoine Residence,"North Smithfield, R.I.",65,20,"Saint Antoine Residence, North Smithfield, R.I.",-71.5495071,41.9667652
Louisburg Healthcare & Rehabilitation Center,"Louisburg, N.C.",64,20,"Louisburg Healthcare & Rehabilitation Center, Louisburg, N.C.",-78.30110599999999,36.0990393
Lutheran Home of Southbury,"Southbury, Conn.",62,20,"Lutheran Home of Southbury, Southbury, Conn.",-73.2133715,41.4793072
Elmhurst Rehabilitation and Healthcare Center,"Providence, R.I.",60,20,"Elmhurst Rehabilitation and Healthcare Center, Providence, R.I.",-71.4128343,41.8239891
Suffield House nursing home,"Suffield, Conn.",52,20,"Suffield House nursing home, Suffield, Conn.",-72.7017741,41.9915062
The Canterbury Care and Rehabilitation Center,"Cedar Grove, N.J.",240,19,"The Canterbury Care and Rehabilitation Center, Cedar Grove, N.J.",-74.2290319,40.8517876
Country Villa South Convalescent Center,"Los Angeles, Calif.",188,19,"Country Villa South Convalescent Center, Los Angeles, Calif.",-118.2436849,34.0522342
Kingston Healthcare Center,"Bakersfield, Calif.",161,19,"Kingston Healthcare Center, Bakersfield, Calif.",-119.0187125,35.3732921
CareOne at King James,"Atlantic Highlands, N.J.",140,19,"CareOne at King James, Atlantic Highlands, N.J.",-74.034306,40.4078864
Panorama Gardens Nursing and Rehabilitation Center,"Los Angeles, Calif.",133,19,"Panorama Gardens Nursing and Rehabilitation Center, Los Angeles, Calif.",-118.2436849,34.0522342
Carlton at the Lake,"Chicago, Ill.",126,19,"Carlton at the Lake, Chicago, Ill.",-87.6297982,41.8781136
Maywood Center for Health and Rehabilitation,"Maywood, N.J.",120,19,"Maywood Center for Health and Rehabilitation, Maywood, N.J.",-74.06180739999999,40.902599
Frederick Villa Nursing and Rehabilitation Center,"Catonsville, Md.",114,19,"Frederick Villa Nursing and Rehabilitation Center, Catonsville, Md.",-76.73191609999999,39.272050900000004
Alaris at Castle Hill nursing home,"Union City, N.J.",114,19,"Alaris at Castle Hill nursing home, Union City, N.J.",-74.02375119999999,40.7795455
Daughters of Israel nursing home,"West Orange, N.J.",112,19,"Daughters of Israel nursing home, West Orange, N.J.",-74.23908279999999,40.7985699
Bridgeway Care and Rehabilitation Center,"Bridgewater, N.J.",111,19,"Bridgeway Care and Rehabilitation Center, Bridgewater, N.J.",-74.6049061,40.5939636
Genesis at Westfield Center nursing home,"Westfield, N.J.",110,19,"Genesis at Westfield Center nursing home, Westfield, N.J.",-74.3473717,40.6589912
Imperial skilled nursing facility,"Dearborn Heights, Mich.",110,19,"Imperial skilled nursing facility, Dearborn Heights, Mich.",-83.27326269999999,42.3369816
Crest Pointe Rehabilitation & Healthcare Center,"Point Pleasant, N.J.",107,19,"Crest Pointe Rehabilitation & Healthcare Center, Point Pleasant, N.J.",-74.0681931,40.0831714
Northampton Manor Nursing and Rehabilitation Center,"Frederick, Md.",106,19,"Northampton Manor Nursing and Rehabilitation Center, Frederick, Md.",-77.4105409,39.41426879999999
Larkin Chase Center nursing home,"Bowie, Md.",105,19,"Larkin Chase Center nursing home, Bowie, Md.",-76.77913649999999,39.0067768
Southeast Nursing and Rehabilitation Center,"San Antonio, Texas",104,19,"Southeast Nursing and Rehabilitation Center, San Antonio, Texas",-98.49362819999999,29.4241219
Alaris Health at Cedar Grove nursing home,"Cedar Grove, N.J.",101,19,"Alaris Health at Cedar Grove nursing home, Cedar Grove, N.J.",-74.2290319,40.8517876
Harvest Manor Healthcare and Rehabilitation,"Denham Springs, La.",101,19,"Harvest Manor Healthcare and Rehabilitation, Denham Springs, La.",-90.95621249999999,30.48685639999999
Sparta Health and Rehabilitation nursing home,"Sparta, Ga.",94,19,"Sparta Health and Rehabilitation nursing home, Sparta, Ga.",-82.97625889999999,33.2757006
Bartlesville Health and Rehabilitation Community,"Bartlesville, Okla.",92,19,"Bartlesville Health and Rehabilitation Community, Bartlesville, Okla.",-95.98081789999999,36.7473114
Universal Health nursing home,"Lillington, N.C.",90,19,"Universal Health nursing home, Lillington, N.C.",-78.8158528,35.39932700000001
Generations nursing home,"Elmwood Park, Ill.",89,19,"Generations nursing home, Elmwood Park, Ill.",-87.8092266,41.9211423
Victoria Post Acute Care,"El Cajon, Calif.",88,19,"Victoria Post Acute Care, El Cajon, Calif.",-116.9625269,32.7947731
Asbury Gardens assisted living facility,"North Aurora, Ill.",87,19,"Asbury Gardens assisted living facility, North Aurora, Ill.",-88.3272952,41.8061399
Life Care Center of Gwinnett nursing home,"Lawrenceville, Ga.",85,19,"Life Care Center of Gwinnett nursing home, Lawrenceville, Ga.",-83.9879625,33.9562149
Chatham Hills Subacute Care Center,"Chatham Township, N.J.",85,19,"Chatham Hills Subacute Care Center, Chatham Township, N.J.",-74.4172591,40.7265893
Covenant Living at Windsor Park retirement community,"Carol Stream, Ill.",84,19,"Covenant Living at Windsor Park retirement community, Carol Stream, Ill.",-88.13479269999999,41.91252859999999
West Bloomfield Nursing Center,"West Bloomfield, Mich.",84,19,"West Bloomfield Nursing Center, West Bloomfield, Mich.",-83.373339,42.5678534
Alden Estates of Northmoor rehabilitation and care,"Chicago, Ill.",83,19,"Alden Estates of Northmoor rehabilitation and care, Chicago, Ill.",-87.6297982,41.8781136
Generations at Applewood nursing home,"Matteson, Ill.",82,19,"Generations at Applewood nursing home, Matteson, Ill.",-87.71310179999999,41.5039235
South Suburban Rehab Center,"Homewood, Ill.",81,19,"South Suburban Rehab Center, Homewood, Ill.",-87.6541852,41.5676825
Stratford Manor Rehabilitation and Care Center,"West Orange, N.J.",79,19,"Stratford Manor Rehabilitation and Care Center, West Orange, N.J.",-74.23908279999999,40.7985699
Gateway Care and Rehabilitation Center,"Hayward, Calif.",79,19,"Gateway Care and Rehabilitation Center, Hayward, Calif.",-122.0809964,37.6687665
Pointe Coupee Healthcare nursing home,"New Roads, La.",79,19,"Pointe Coupee Healthcare nursing home, New Roads, La.",-91.4362242,30.7015741
The Meadows Post Acute skilled nursing facility,"Panorama City, Calif.",78,19,"The Meadows Post Acute skilled nursing facility, Panorama City, Calif.",-118.442425,34.227617
