facility,location,cases,deaths,address,lon,lat
Montowese Health and Rehabilitation Center,"North Haven, Conn.",84,22,"Montowese Health and Rehabilitation Center, North Haven, Conn.",-72.8595447,41.39091390000001
Medilodge of Kalamazoo nursing home,"Kalamazoo, Mich.",84,22,"Medilodge of Kalamazoo nursing home, Kalamazoo, Mich.",-85.5872286,42.2917069
Cassena Care nursing home,"Stamford, Conn.",77,22,"Cassena Care nursing home, Stamford, Conn.",-73.5387341,41.0534302
Arnold Walter Nursing and Rehabilitation Center,"Hazlet, N.J.",76,22,"Arnold Walter Nursing and Rehabilitation Center, Hazlet, N.J.",-74.16509909999999,40.4289526
Holly Manor Center nursing home,"Mendham, N.J.",72,22,"Holly Manor Center nursing home, Mendham, N.J.",-74.57656860000002,40.7870633
Linwood Nursing and Rehabilitation Center,"Scranton, Pa.",69,22,"Linwood Nursing and Rehabilitation Center, Scranton, Pa.",-75.66241219999999,41.408969
Hamden Rehabilitation and Health Care Center,"Hamden, Conn.",63,22,"Hamden Rehabilitation and Health Care Center, Hamden, Conn.",-72.9026064,41.3838782
Deer Meadows Rehabilitation Center,"Philadelphia, Pa.",57,22,"Deer Meadows Rehabilitation Center, Philadelphia, Pa.",-75.1652215,39.9525839
Complete Care at Hamilton Plaza nursing home,"Passaic, N.J.",181,21,"Complete Care at Hamilton Plaza nursing home, Passaic, N.J.",-74.1284764,40.8567662
ManorCare Health Services nursing home,"Easton, Pa.",156,21,"ManorCare Health Services nursing home, Easton, Pa.",-75.2207323,40.688432
Powder Springs Transitional Care and Rehab,"Powder Springs, Ga.",148,21,"Powder Springs Transitional Care and Rehab, Powder Springs, Ga.",-84.683824,33.8595491
Hillcrest Center skilled nursing facility,"Wyncote, Pa.",141,21,"Hillcrest Center skilled nursing facility, Wyncote, Pa.",-75.1487863,40.0945549
The Jewish Home Family nursing home,"Rockleigh , N.J.",141,21,"The Jewish Home Family nursing home, Rockleigh , N.J.",-73.930414,41.0003754
Hebrew Home of Greater Washington,"Rockville, Md.",139,21,"Hebrew Home of Greater Washington, Rockville, Md.",-77.1527578,39.0839973
FutureCare Chesapeake rehabilitation facility,"Arnold, Md.",131,21,"FutureCare Chesapeake rehabilitation facility, Arnold, Md.",-76.50273949999999,39.0320554
Leisure Chateau Care and Rehabilitation Center,"Lakewood, N.J.",128,21,"Leisure Chateau Care and Rehabilitation Center, Lakewood, N.J.",-74.2097014,40.08212899999999
Park Place Nursing,"Monroe, Ga.",123,21,"Park Place Nursing, Monroe, Ga.",-83.713229,33.7948364
AristaCare nursing home,"Whiting, N.J.",122,21,"AristaCare nursing home, Whiting, N.J.",-74.378734,39.9543627
Signature HealthCARE nursing home,"Marietta, Ga.",122,21,"Signature HealthCARE nursing home, Marietta, Ga.",-84.5499327,33.95260200000001
Signature HealthCARE at Tower Road nursing home,"Marietta, Ga.",118,21,"Signature HealthCARE at Tower Road nursing home, Marietta, Ga.",-84.5499327,33.95260200000001
Community Convalescent Center,"Plant City, Fla.",117,21,"Community Convalescent Center, Plant City, Fla.",-82.1128641,28.0186323
Pleasant Valley Nursing Home,"Derry, N.H.",116,21,"Pleasant Valley Nursing Home, Derry, N.H.",-71.3273346,42.8806437
Wilson Health Care Center at Asbury Methodist Village,"Gaithersburg, Md.",113,21,"Wilson Health Care Center at Asbury Methodist Village, Gaithersburg, Md.",-77.2016062,39.1439689
Complete Care at Laurelton rehabilitation facility,"Brick Township, N.J.",107,21,"Complete Care at Laurelton rehabilitation facility, Brick Township, N.J.",-74.1371832,40.0578384
Astoria Place Living and Rehab Center,"Chicago, Ill.",106,21,"Astoria Place Living and Rehab Center, Chicago, Ill.",-87.6297982,41.8781136
Booker T. Washington Skilled Nursing & Rehabilitation,"Shreveport, La.",106,21,"Booker T. Washington Skilled Nursing & Rehabilitation, Shreveport, La.",-93.7501789,32.5251516
Alden Estates rehabilitation center,"Naperville, Ill.",101,21,"Alden Estates rehabilitation center, Naperville, Ill.",-88.1535352,41.7508391
Oak Brook Care,"Oak Brook, Ill.",100,21,"Oak Brook Care, Oak Brook, Ill.",-87.95355339999999,41.8397865
Windsor Park Manor retirement community,"Carol Stream, Ill.",99,21,"Windsor Park Manor retirement community, Carol Stream, Ill.",-88.13479269999999,41.91252859999999
Treyburn Rehabilitation Center,"Durham, N.C.",98,21,"Treyburn Rehabilitation Center, Durham, N.C.",-78.898619,35.9940329
Madison Center nursing home,"Matawan, N.J.",95,21,"Madison Center nursing home, Matawan, N.J.",-74.2295891,40.41482999999999
NSpire Healthcare nursing home,"Lauderhill, Fla.",93,21,"NSpire Healthcare nursing home, Lauderhill, Fla.",-80.2133808,26.1403635
Stoddard Baptist Global Care at Washington Center for Aging Services,"Washington , D.C.",93,21,"Stoddard Baptist Global Care at Washington Center for Aging Services, Washington , D.C.",-77.0368707,38.9071923
Fair Havens Senior Living,"Decatur, Ill.",93,21,"Fair Havens Senior Living, Decatur, Ill.",-88.9548001,39.8403147
Valerie Manor nursing home,"Torrington, Conn.",93,21,"Valerie Manor nursing home, Torrington, Conn.",-73.1211715,41.8003049
Carbondale Nursing and Rehab Center,"Carbondale, Pa.",90,21,"Carbondale Nursing and Rehab Center, Carbondale, Pa.",-75.5018508,41.5736935
Landmark of Des Plaines nursing home,"Des Plaines, Ill.",89,21,"Landmark of Des Plaines nursing home, Des Plaines, Ill.",-87.88339909999999,42.0333623
Wingate at Harwich nursing and rehab,"Harwich, Mass.",83,21,"Wingate at Harwich nursing and rehab, Harwich, Mass.",-70.0622231,41.6716498
Springbrook Nursing and Rehabilitation Center,"Clayton, N.C.",83,21,"Springbrook Nursing and Rehabilitation Center, Clayton, N.C.",-78.4563914,35.650711
CareOne nursing home,"Wayne , N.J.",83,21,"CareOne nursing home, Wayne , N.J.",-74.2765441,40.92537249999999
Riverside Miller Rehabilitation,"Kankakee, Ill.",80,21,"Riverside Miller Rehabilitation, Kankakee, Ill.",-87.8611531,41.1200325
Lakeview Nursing and Rehabilitation,"Chicago, Ill.",80,21,"Lakeview Nursing and Rehabilitation, Chicago, Ill.",-87.6297982,41.8781136
Alexandria Care Center nursing home,"Los Angeles, Calif.",79,21,"Alexandria Care Center nursing home, Los Angeles, Calif.",-118.2436849,34.0522342
Clover Meadows Healthcare and Rehab Center,"Lawrenceville, N.J.",77,21,"Clover Meadows Healthcare and Rehab Center, Lawrenceville, N.J.",-74.7361013,40.3016375
Avantara Evergreen Park skilled nursing,"Evergreen Park, Ill.",77,21,"Avantara Evergreen Park skilled nursing, Evergreen Park, Ill.",-87.7017175,41.7205889
Apple Rehab nursing home,"Rocky Hill, Conn.",75,21,"Apple Rehab nursing home, Rocky Hill, Conn.",-72.66557569999999,41.6572525
Stillwater Assisted Living & Skilled Nursing,"Greenville, R.I.",65,21,"Stillwater Assisted Living & Skilled Nursing, Greenville, R.I.",-71.5520069,41.8712103
Prospect Park Health and Rehab,"Prospect Park, Pa.",62,21,"Prospect Park Health and Rehab, Prospect Park, Pa.",-75.3082426,39.8878904
Mystic Healthcare rehabilitation facility,"Groton, Conn.",54,21,"Mystic Healthcare rehabilitation facility, Groton, Conn.",-72.0790717,41.3497456
Sinai Post-Acute Nursing & Rehab Center,"Newark, N.J.",191,20,"Sinai Post-Acute Nursing & Rehab Center, Newark, N.J.",-74.1723667,40.735657
Turlock Nursing and Rehabilitation Center,"Turlock, Calif.",157,20,"Turlock Nursing and Rehabilitation Center, Turlock, Calif.",-120.8459786,37.4945743
Emerson Health and Rehabilitation Center,"Emerson, N.J.",148,20,"Emerson Health and Rehabilitation Center, Emerson, N.J.",-74.0262505,40.976209
Westland Convalescent and Rehab Center,"Westland, Mich.",145,20,"Westland Convalescent and Rehab Center, Westland, Mich.",-83.400211,42.32420399999999
Astoria Nursing and Rehabilitation Center,"Sylmar, Calif.",142,20,"Astoria Nursing and Rehabilitation Center, Sylmar, Calif.",-118.4571974,34.3058279
Calvert Manor Health Care Center,"Rising Sun, Md.",130,20,"Calvert Manor Health Care Center, Rising Sun, Md.",-76.06272659999999,39.6978871
Rivergate Health Care Center,"Riverview, Mich.",125,20,"Rivergate Health Care Center, Riverview, Mich.",-83.1793697,42.1742073
Chateau Terrebonne skilled nursing,"Houma, La.",121,20,"Chateau Terrebonne skilled nursing, Houma, La.",-90.71953479999999,29.5957696
Aperion Care International nursing home,"Chicago, Ill.",119,20,"Aperion Care International nursing home, Chicago, Ill.",-87.6297982,41.8781136
Country Villa Sheraton Nursing and Rehabilitation Center,"North Hills, Calif.",114,20,"Country Villa Sheraton Nursing and Rehabilitation Center, North Hills, Calif.",-118.4849365,34.235822
West Woods skilled nursing facility,"Niles, Mich.",113,20,"West Woods skilled nursing facility, Niles, Mich.",-86.2541768,41.829769400000004
PruittHealth Carolina Point nursing home,"Durham, N.C.",112,20,"PruittHealth Carolina Point nursing home, Durham, N.C.",-78.898619,35.9940329
Inglemoor Rehabilitation & Care Center,"Livingston, N.J.",108,20,"Inglemoor Rehabilitation & Care Center, Livingston, N.J.",-74.3300842,40.7862871
Virtua Rehabilitation Center Mount Holly,"Mount Holly, N.J.",106,20,"Virtua Rehabilitation Center Mount Holly, Mount Holly, N.J.",-74.78793929999999,39.9931438
Jefferson Healthcare Center,"Jefferson, La.",106,20,"Jefferson Healthcare Center, Jefferson, La.",-90.1531298,29.96603709999999
Briarleaf Nursing & Convalescent Center,"Doylestown, Pa.",103,20,"Briarleaf Nursing & Convalescent Center, Doylestown, Pa.",-75.1298939,40.3101063
Brenham Nursing and Rehabilitation Center,"Brenham, Texas",103,20,"Brenham Nursing and Rehabilitation Center, Brenham, Texas",-96.39774419999999,30.1668828
Hunterdon Care Center nursing home,"Flemington, N.J.",101,20,"Hunterdon Care Center nursing home, Flemington, N.J.",-74.85933179999999,40.5123258
Hopkins Manor nursing home,"North Providence, R.I.",100,20,"Hopkins Manor nursing home, North Providence, R.I.",-71.46766389999999,41.8535518
Highland Springs Care Center nursing home,"Beaumont, Calif.",100,20,"Highland Springs Care Center nursing home, Beaumont, Calif.",-116.977248,33.9294606
Brighton Gardens of Prairie Village assisted living facility,"Prairie Village, Kan.",97,20,"Brighton Gardens of Prairie Village assisted living facility, Prairie Village, Kan.",-94.6335684,38.9916726
Burbank Healthcare and Rehabilitation Center,"Burbank, Calif.",97,20,"Burbank Healthcare and Rehabilitation Center, Burbank, Calif.",-118.3089661,34.1808392
Birchwood Terrace Rehab and Healthcare,"Burlington, Vt.",93,20,"Birchwood Terrace Rehab and Healthcare, Burlington, Vt.",-73.21207199999999,44.4758825
ManorCare Health Services nursing home,"Potomac, Md.",93,20,"ManorCare Health Services nursing home, Potomac, Md.",-77.2085914,39.0181651
Brightmoor Nursing Center and Senior Living,"Griffin, Ga.",91,20,"Brightmoor Nursing Center and Senior Living, Griffin, Ga.",-84.2640904,33.2467807
Hamilton Arms Center nursing home,"Lancaster, Pa.",89,20,"Hamilton Arms Center nursing home, Lancaster, Pa.",-76.3055144,40.0378755
Anchor Care and Rehabilitation Center,"Hazlet, N.J.",89,20,"Anchor Care and Rehabilitation Center, Hazlet, N.J.",-74.16509909999999,40.4289526
Meridian Nursing and Rehabilitation,"Brick, N.J.",88,20,"Meridian Nursing and Rehabilitation, Brick, N.J.",-74.1371832,40.0578384
Silver Lake Center nursing home,"Bristol, Pa.",85,20,"Silver Lake Center nursing home, Bristol, Pa.",-74.8518311,40.1006661
Woonsocket Health & Rehabilitation Centre,"Woonsocket, R.I.",85,20,"Woonsocket Health & Rehabilitation Centre, Woonsocket, R.I.",-71.51478390000001,42.00287609999999
Signature HealthCARE nursing home,"Chapel Hill, N.C.",84,20,"Signature HealthCARE nursing home, Chapel Hill, N.C.",-79.0558445,35.9131996
Kimberly Hall South nursing home,"Windsor, Conn.",80,20,"Kimberly Hall South nursing home, Windsor, Conn.",-72.64370219999999,41.8525984
Mount St. Rita Health Centre nursing home,"Cumberland, R.I.",80,20,"Mount St. Rita Health Centre nursing home, Cumberland, R.I.",-71.4061876,41.9721816
Bell Convalescent Hospital,"Bell, Calif.",79,20,"Bell Convalescent Hospital, Bell, Calif.",-118.1870156,33.9775142
Autumn Lake Healthcare nursing home,"Cromwell, Conn.",78,20,"Autumn Lake Healthcare nursing home, Cromwell, Conn.",-72.6453705,41.595098900000004
Rose Mountain Care Center nursing home,"New Brunswick, N.J.",78,20,"Rose Mountain Care Center nursing home, New Brunswick, N.J.",-74.4518188,40.4862157
Whitney Rehabilitation Care Center,"Hamden, Conn.",77,20,"Whitney Rehabilitation Care Center, Hamden, Conn.",-72.9026064,41.3838782
Complete Care at Summit Ridge nursing home,"West Orange, N.J.",77,20,"Complete Care at Summit Ridge nursing home, West Orange, N.J.",-74.23908279999999,40.7985699
Greenville Center skilled nursing and rehabilitation,"Greenville, R.I.",75,20,"Greenville Center skilled nursing and rehabilitation, Greenville, R.I.",-71.5520069,41.8712103
Steere House Nursing and Rehabilitation Center,"Providence, R.I.",75,20,"Steere House Nursing and Rehabilitation Center, Providence, R.I.",-71.4128343,41.8239891
Braden River Rehabilitation Center,"Bradenton, Fla.",72,20,"Braden River Rehabilitation Center, Bradenton, Fla.",-82.5748194,27.4989278
Jo Ellen Smith Living Center nursing home,"New Orleans, La.",72,20,"Jo Ellen Smith Living Center nursing home, New Orleans, La.",-90.0715323,29.95106579999999
Touchpoints nursing home,"Bloomfield, Conn.",71,20,"Touchpoints nursing home, Bloomfield, Conn.",-72.73009449999999,41.826488
Julia Temple Healthcare Center,"Englewood, Colo.",71,20,"Julia Temple Healthcare Center, Englewood, Colo.",-104.9877597,39.6477653
Papermill Road Nursing & Rehabilitation Center,"Glenside, Pa.",71,20,"Papermill Road Nursing & Rehabilitation Center, Glenside, Pa.",-75.1527928,40.0999077
Oakland Grove Health Care Center,"Woonsocket, R.I.",70,20,"Oakland Grove Health Care Center, Woonsocket, R.I.",-71.51478390000001,42.00287609999999
Cherry Hill Manor nursing and rehabilitation center,"Johnston, R.I.",70,20,"Cherry Hill Manor nursing and rehabilitation center, Johnston, R.I.",-71.51261699999999,41.8205199
Jewish Home of Eastern Pennsylvania nursing home,"Scranton, Pa.",69,20,"Jewish Home of Eastern Pennsylvania nursing home, Scranton, Pa.",-75.66241219999999,41.408969
Plaza Healthcare and Rehabilitation Center,"Elizabeth, N.J.",69,20,"Plaza Healthcare and Rehabilitation Center, Elizabeth, N.J.",-74.2107006,40.6639916
Eden Village Care Center,"Glen Carbon, Ill.",68,20,"Eden Village Care Center, Glen Carbon, Ill.",-89.98315799999999,38.7483814
Autumn Care nursing home,"Cornelius, N.C.",67,20,"Autumn Care nursing home, Cornelius, N.C.",-80.86007359999999,35.4868032
Evergreen Health Care Center,"Stafford Springs, Conn.",66,20,"Evergreen Health Care Center, Stafford Springs, Conn.",-72.3162523,41.984407
Scalabrini Villa Skilled Nursing and Rehabilitation Center,"North Kingstown, R.I.",65,20,"Scalabrini Villa Skilled Nursing and Rehabilitation Center, North Kingstown, R.I.",-71.4536835,41.5568315
Briarcliffe Manor,"Johnston, R.I.",65,20,"Briarcliffe Manor, Johnston, R.I.",-71.51261699999999,41.8205199
"Regency Grande Post-Acute, Rehab & Nursing Center","Dover, N.J.",65,20,"Regency Grande Post-Acute, Rehab & Nursing Center, Dover, N.J.",-74.5621025,40.883988
Saint Antoine Residence,"North Smithfield, R.I.",65,20,"Saint Antoine Residence, North Smithfield, R.I.",-71.5495071,41.9667652
Louisburg Healthcare & Rehabilitation Center,"Louisburg, N.C.",64,20,"Louisburg Healthcare & Rehabilitation Center, Louisburg, N.C.",-78.30110599999999,36.0990393
Early Memorial Nursing Facility,"Blakely, Ga.",64,20,"Early Memorial Nursing Facility, Blakely, Ga.",-84.93409199999999,31.3776754
Elizabeth Nursing and Rehabilitation Center,"Elizabeth, N.J.",64,20,"Elizabeth Nursing and Rehabilitation Center, Elizabeth, N.J.",-74.2107006,40.6639916
AristaCare at Norwood Terrace rehabilitation facility,"Plainfield, N.J.",63,20,"AristaCare at Norwood Terrace rehabilitation facility, Plainfield, N.J.",-74.4073736,40.6337136
The Willows nursing home,"Woodbridge, Conn.",63,20,"The Willows nursing home, Woodbridge, Conn.",-73.0084385,41.352597
Lutheran Home of Southbury,"Southbury, Conn.",61,20,"Lutheran Home of Southbury, Southbury, Conn.",-73.2133715,41.4793072
Elmhurst Rehabilitation and Healthcare Center,"Providence, R.I.",60,20,"Elmhurst Rehabilitation and Healthcare Center, Providence, R.I.",-71.4128343,41.8239891
Riddle Village retirement and senior care,"Media, Pa.",58,20,"Riddle Village retirement and senior care, Media, Pa.",-75.387693,39.9167783
Suffield House nursing home,"Suffield, Conn.",52,20,"Suffield House nursing home, Suffield, Conn.",-72.7017741,41.9915062
The Canterbury Care and Rehabilitation Center,"Cedar Grove, N.J.",237,19,"The Canterbury Care and Rehabilitation Center, Cedar Grove, N.J.",-74.2290319,40.8517876
CareOne at King James,"Atlantic Highlands, N.J.",140,19,"CareOne at King James, Atlantic Highlands, N.J.",-74.034306,40.4078864
Kingston Healthcare Center,"Bakersfield, Calif.",137,19,"Kingston Healthcare Center, Bakersfield, Calif.",-119.0187125,35.3732921
Autumn Lake Healthcare at Cherry Lane nursing home,"Laurel, Md.",130,19,"Autumn Lake Healthcare at Cherry Lane nursing home, Laurel, Md.",-76.8483061,39.0992752
Silver Springs Care Center nursing home,"Meriden, Conn.",120,19,"Silver Springs Care Center nursing home, Meriden, Conn.",-72.80704349999999,41.5381535
Villa Manor Care Center,"Lakewood, Colo.",115,19,"Villa Manor Care Center, Lakewood, Colo.",-105.0813734,39.7047095
Frederick Villa Nursing and Rehabilitation Center,"Catonsville, Md.",115,19,"Frederick Villa Nursing and Rehabilitation Center, Catonsville, Md.",-76.73191609999999,39.272050900000004
Maywood Center for Health and Rehabilitation,"Maywood, N.J.",115,19,"Maywood Center for Health and Rehabilitation, Maywood, N.J.",-74.06180739999999,40.902599
Wynwood Rehabilitation and Healthcare Center,"Cinnaminson, N.J.",112,19,"Wynwood Rehabilitation and Healthcare Center, Cinnaminson, N.J.",-74.99276929999999,39.9969646
Daughters of Israel nursing home,"West Orange, N.J.",111,19,"Daughters of Israel nursing home, West Orange, N.J.",-74.23908279999999,40.7985699
Bridgeway Care and Rehabilitation Center,"Bridgewater, N.J.",111,19,"Bridgeway Care and Rehabilitation Center, Bridgewater, N.J.",-74.6049061,40.5939636
Signature HealthCARE nursing home,"Jacksonville, Fla.",110,19,"Signature HealthCARE nursing home, Jacksonville, Fla.",-81.65565099999999,30.3321838
The Gardens at West Shore,"West Shore, Pa.",108,19,"The Gardens at West Shore, West Shore, Pa.",-76.8415546,40.1812259
Genesis at Westfield Center nursing home,"Westfield, N.J.",108,19,"Genesis at Westfield Center nursing home, Westfield, N.J.",-74.3473717,40.6589912
Crest Pointe Rehabilitation & Healthcare Center,"Point Pleasant, N.J.",107,19,"Crest Pointe Rehabilitation & Healthcare Center, Point Pleasant, N.J.",-74.0681931,40.0831714
Larkin Chase Center nursing home,"Bowie, Md.",105,19,"Larkin Chase Center nursing home, Bowie, Md.",-76.77913649999999,39.0067768
Southeast Nursing and Rehabilitation Center,"San Antonio, Texas",104,19,"Southeast Nursing and Rehabilitation Center, San Antonio, Texas",-98.49362819999999,29.4241219
Northampton Manor Nursing and Rehabilitation Center,"Frederick, Md.",101,19,"Northampton Manor Nursing and Rehabilitation Center, Frederick, Md.",-77.4105409,39.41426879999999
Parkway Pavilion Health and Rehabilitation Center,"Enfield, Conn.",100,19,"Parkway Pavilion Health and Rehabilitation Center, Enfield, Conn.",-72.5441445,42.0027181
Alaris Health at Cedar Grove nursing home,"Cedar Grove, N.J.",98,19,"Alaris Health at Cedar Grove nursing home, Cedar Grove, N.J.",-74.2290319,40.8517876
Hollywood Premier Healthcare Center nursing home,"Los Angeles, Calif.",94,19,"Hollywood Premier Healthcare Center nursing home, Los Angeles, Calif.",-118.2436849,34.0522342
Preferred Care at Mercer skilled nursing facility,"Ewing, N.J.",93,19,"Preferred Care at Mercer skilled nursing facility, Ewing, N.J.",-74.79091249999999,40.2599864
Bartlesville Health and Rehabilitation Community,"Bartlesville, Okla.",92,19,"Bartlesville Health and Rehabilitation Community, Bartlesville, Okla.",-95.98081789999999,36.7473114
Universal Health nursing home,"Lillington, N.C.",90,19,"Universal Health nursing home, Lillington, N.C.",-78.8158528,35.39932700000001
Preferred Care at Wall nursing home,"Allenwood, N.J.",86,19,"Preferred Care at Wall nursing home, Allenwood, N.J.",-74.0998616,40.1415032
Life Care Center of Gwinnett nursing home,"Lawrenceville, Ga.",85,19,"Life Care Center of Gwinnett nursing home, Lawrenceville, Ga.",-83.9879625,33.9562149
Covenant Living at Windsor Park retirement community,"Carol Stream, Ill.",84,19,"Covenant Living at Windsor Park retirement community, Carol Stream, Ill.",-88.13479269999999,41.91252859999999
Touchpoints nursing home,"Farmington, Conn.",83,19,"Touchpoints nursing home, Farmington, Conn.",-72.79502699999999,41.7360305
Alden Estates of Northmoor rehabilitation and care,"Chicago, Ill.",82,19,"Alden Estates of Northmoor rehabilitation and care, Chicago, Ill.",-87.6297982,41.8781136
The Meadows Post Acute skilled nursing facility,"Panorama City, Calif.",81,19,"The Meadows Post Acute skilled nursing facility, Panorama City, Calif.",-118.442425,34.227617
Mountain Top Healthcare and Rehabilitation Center,"Mountain Top, Pa.",80,19,"Mountain Top Healthcare and Rehabilitation Center, Mountain Top, Pa.",-75.87741900000002,41.16952690000001
Stratford Manor Rehabilitation and Care Center,"West Orange, N.J.",79,19,"Stratford Manor Rehabilitation and Care Center, West Orange, N.J.",-74.23908279999999,40.7985699
Providence Nursing and Rehabilitation Center,"Trenton, N.J.",77,19,"Providence Nursing and Rehabilitation Center, Trenton, N.J.",-74.759717,40.2205824
Providence Rehabilitation & Healthcare Center at Mercy Fitzgerald,"Yeadon, Pa.",75,19,"Providence Rehabilitation & Healthcare Center at Mercy Fitzgerald, Yeadon, Pa.",-75.2554605,39.9390017
Berwick Retirement Village,"Berwick, Pa.",74,19,"Berwick Retirement Village, Berwick, Pa.",-76.23326759999999,41.0545292
West Bloomfield Nursing Center,"West Bloomfield, Mich.",74,19,"West Bloomfield Nursing Center, West Bloomfield, Mich.",-83.373339,42.5678534
Milford Manor nursing home,"West Milford, N.J.",73,19,"Milford Manor nursing home, West Milford, N.J.",-74.3673254,41.1311292
Blueberry Hill Rehabilitation and Healthcare Center,"Beverly, Mass.",70,19,"Blueberry Hill Rehabilitation and Healthcare Center, Beverly, Mass.",-70.880049,42.5584283
The Woodlands assisted living facility,"Plainfield, N.J.",70,19,"The Woodlands assisted living facility, Plainfield, N.J.",-74.4073736,40.6337136
Homestead Rehabilitation and Health Care Center,"Newton, N.J.",68,19,"Homestead Rehabilitation and Health Care Center, Newton, N.J.",-74.7526651,41.0581527
Touchpoints at Manchester skilled nursing facility,"Manchester, Conn.",68,19,"Touchpoints at Manchester skilled nursing facility, Manchester, Conn.",-72.52150089999999,41.7759301
Avista Healthcare nursing home,"Cherry Hill, N.J.",64,19,"Avista Healthcare nursing home, Cherry Hill, N.J.",-75.0246312,39.926813
Belmont Village Senior Living,"Buffalo Grove, Ill.",63,19,"Belmont Village Senior Living, Buffalo Grove, Ill.",-87.9631308,42.1662831
Alaris Health at Essex nursing home,"Irvington, N.J.",61,19,"Alaris Health at Essex nursing home, Irvington, N.J.",-74.22864349999999,40.7263249
New Jersey Firemen's Home nursing home,"Boonton, N.J.",60,19,"New Jersey Firemen's Home nursing home, Boonton, N.J.",-74.4087405,40.904019
Springs at the Watermark nursing home,"Philadelphia, Pa.",60,19,"Springs at the Watermark nursing home, Philadelphia, Pa.",-75.1652215,39.9525839
St. Camillus Health Center nursing home,"Stamford, Conn.",50,19,"St. Camillus Health Center nursing home, Stamford, Conn.",-73.5387341,41.0534302
Atlantic Coast Rehabilitation and Healthcare Center,"Lakewood, N.J.",289,18,"Atlantic Coast Rehabilitation and Healthcare Center, Lakewood, N.J.",-74.2097014,40.08212899999999
The Citadel at Salisbury nursing home,"Salisbury, N.C.",168,18,"The Citadel at Salisbury nursing home, Salisbury, N.C.",-80.4742261,35.6709727
Four Seasons Healthcare and Wellness Center,"North Hollywood, Calif.",161,18,"Four Seasons Healthcare and Wellness Center, North Hollywood, Calif.",-118.3812562,34.187044
Salisbury Rehabilitation and Nursing Center,"Salisbury, Md.",147,18,"Salisbury Rehabilitation and Nursing Center, Salisbury, Md.",-75.5993692,38.3606736
PruittHealth nursing home,"Lilburn, Ga.",137,18,"PruittHealth nursing home, Lilburn, Ga.",-84.14297189999999,33.8901036
Premier at Susquehanna nursing home,"Millersburg, Pa.",135,18,"Premier at Susquehanna nursing home, Millersburg, Pa.",-76.96081029999999,40.5395289
Riviera Healthcare Center,"Los Angeles, Calif.",133,18,"Riviera Healthcare Center, Los Angeles, Calif.",-118.2436849,34.0522342
Laurel Brook Rehabilitation and Healthcare Center,"Mount Laurel, N.J.",125,18,"Laurel Brook Rehabilitation and Healthcare Center, Mount Laurel, N.J.",-74.89099879999999,39.934002
Carneys Point Care Center,"Carneys Point, N.J.",116,18,"Carneys Point Care Center, Carneys Point, N.J.",-75.4701443,39.7111989
Elmora Hills Healthcare and Rehabilitation Center,"Elizabeth, N.J.",115,18,"Elmora Hills Healthcare and Rehabilitation Center, Elizabeth, N.J.",-74.2107006,40.6639916
Alaris at Castle Hill nursing home,"Union City, N.J.",110,18,"Alaris at Castle Hill nursing home, Union City, N.J.",-74.02375119999999,40.7795455
Imperial skilled nursing facility,"Dearborn Heights, Mich.",106,18,"Imperial skilled nursing facility, Dearborn Heights, Mich.",-83.27326269999999,42.3369816
Gulf Shore Care Center nursing home,"Pinellas Park, Fla.",103,18,"Gulf Shore Care Center nursing home, Pinellas Park, Fla.",-82.6995443,27.8428025
Westminster Healthcare Center nursing home,"Westminster, Md.",102,18,"Westminster Healthcare Center nursing home, Westminster, Md.",-76.9958149,39.5753791
Berlin Nursing and Rehabilitation Center,"Berlin, Md.",101,18,"Berlin Nursing and Rehabilitation Center, Berlin, Md.",-75.2176892,38.3226153
FutureCare Courtland skilled nursing,"Pikesville, Md.",100,18,"FutureCare Courtland skilled nursing, Pikesville, Md.",-76.7224727,39.3742729
ManorCare Health Services nursing home,"West Deptford, N.J.",96,18,"ManorCare Health Services nursing home, West Deptford, N.J.",-75.1895576,39.8318378
Legacy Nursing and Rehabilitation,"Franklin, La.",92,18,"Legacy Nursing and Rehabilitation, Franklin, La.",-91.5015002,29.7960399
Cambridge Rehabilitation and Healthcare Center,"Moorestown, N.J.",92,18,"Cambridge Rehabilitation and Healthcare Center, Moorestown, N.J.",-74.948886,39.9688817
Sparta Health and Rehabilitation nursing home,"Sparta, Ga.",90,18,"Sparta Health and Rehabilitation nursing home, Sparta, Ga.",-82.97625889999999,33.2757006
Windsor Gardens Convalescent Center of San Diego,"National City, Calif.",85,18,"Windsor Gardens Convalescent Center of San Diego, National City, Calif.",-117.0991967,32.6781085
Chatham Hills Subacute Care Center,"Chatham Township, N.J.",85,18,"Chatham Hills Subacute Care Center, Chatham Township, N.J.",-74.4172591,40.7265893
Suwannee Health and Rehabilitation,"Live Oak, Fla.",85,18,"Suwannee Health and Rehabilitation, Live Oak, Fla.",-82.98402000000002,30.2949457
StoneRidge Towne Centre retirement living community,"Myerstown, Pa.",84,18,"StoneRidge Towne Centre retirement living community, Myerstown, Pa.",-76.30273179999999,40.3745363
Kei-Ai South Bay Healthcare Center skilled nursing facility,"Gardena, Calif.",83,18,"Kei-Ai South Bay Healthcare Center skilled nursing facility, Gardena, Calif.",-118.3089624,33.8883487
Phoenix Center for Rehabilitation & Nursing,"Phoenixville, Pa.",82,18,"Phoenix Center for Rehabilitation & Nursing, Phoenixville, Pa.",-75.51491279999999,40.1303822
